ID,PARENTID,ORGTYPE,UIC,SUBUNIT,LDUIC,TITLE,PARNO,GRADE,POSCO,ERC,OFF,WO,ENL,MIL,CIV,AUTHEQP,RUNDATE
72060793958881106,72060793958881096,BL,,,,#3 Wheeled Vehicle Mechanic,102,E-3,91B1O,,0,0,1,1,0,0,23-Mar-2026
72060793958881106,72060793958881106,EQ,,,,SIGHT REFLEX COLLIMA,102,,S60288,A,0,0,0,0,0,1,23-Mar-2026
72060793958881106,72060793958881106,EQ,,,,CARBINE 5.56MILL M4A1,102,,C06935,A,0,0,0,0,0,1,23-Mar-2026
72060793958881106,72060793958881106,EQ,,,,MASK SYSTEM CHEMICA,102,,M12986,A,0,0,0,0,0,1,23-Mar-2026
72060793958881106,72060793958881106,EQ,,,,BAYONET MULTI SYS M9,102,,B49004,A,0,0,0,0,0,1,23-Mar-2026
72060793958881106,72060793958881106,EQ,,,,TOOL KIT GENERAL ME,102,,T28688,A,0,0,0,0,0,1,23-Mar-2026
72060793958881096,72060793958881096,EQ,,,,"TEST SET,ELECTRONICSY",102,,T05098,A,0,0,0,0,0,2,23-Mar-2026
72060793958881081,72060793958881081,EQ,,,,RADIAC SET,102,,R30925,A,0,0,0,0,0,1,23-Mar-2026
72060793958881081,72060793958881081,EQ,,,,"LAUNCHER,GRENADE",102,,L69080,A,0,0,0,0,0,4,23-Mar-2026
72060793958881081,72060793958881081,EQ,,,,SI THE AN/PAS-13B(V)3,102,,S90603,A,0,0,0,0,0,2,23-Mar-2026
72060793958881081,72060793958881081,EQ,,,,MT MAC GUN 40MM MK93,102,,M12647,A,0,0,0,0,0,2,23-Mar-2026
72060793958881081,72060793958881081,EQ,,,,MACH GUN 40MM: MK19,102,,M92362,A,0,0,0,0,0,2,23-Mar-2026
72060793958881081,72060793958881081,EQ,,,,RADIAC ST AN/UDR-13,102,,R31061,A,0,0,0,0,0,1,23-Mar-2026
72060793958881081,72060793958881081,EQ,,,,INTERROGA ST AN/TYX-1,102,,J99233,A,0,0,0,0,0,2,23-Mar-2026
72060793958881081,72060793958881081,EQ,,,,RADIAC SET AN/VDR-2,102,,R20684,A,0,0,0,0,0,1,23-Mar-2026
72060793958881081,72060793958881081,EQ,,,,GEN SET MEP MOD 501-A,102,,G36237,A,0,0,0,0,0,1,23-Mar-2026
72060793958881081,72060793958881081,EQ,,,,COL PROT EQ NBC M20,102,,C79000,A,0,0,0,0,0,1,23-Mar-2026
72060793958881081,72060793958881081,EQ,,,,DTCTR CHMCL AGNT A,102,,J00697,A,0,0,0,0,0,1,23-Mar-2026
72060793958881081,72060793958881081,EQ,,,,SI THE AN/PAS-13B(V)2,102,,S90535,A,0,0,0,0,0,4,23-Mar-2026
72060793958881081,72060793958881081,EQ,,,,MT MACH GUN M192,102,,M60256,A,0,0,0,0,0,4,23-Mar-2026
72060793958881081,72060793958881081,EQ,,,,LMG: 5.56MM M249,102,,M39263,A,0,0,0,0,0,4,23-Mar-2026
72060793958881081,72060793958881081,EQ,,,,"MOUNT,TRIPOD,MACHIN",102,,X05002,A,0,0,0,0,0,2,23-Mar-2026
72060793958881081,72060793958881081,EQ,,,,GEN ST DSL MEP-802A,102,,G11966,A,0,0,0,0,0,1,23-Mar-2026
72060793958881081,72060793958881081,EQ,,,,COM ST DIG OL-605/TYQ,102,,C05070,A,0,0,0,0,0,1,23-Mar-2026
72060793958881081,72060793958881081,EQ,,,,SIGHT BORE OPT M150,102,,S45729,A,0,0,0,0,0,4,23-Mar-2026
72060793958881081,72060793958881081,EQ,,,,"TRANSFER UNIT,CRYPTOG",102,,C05002,A,0,0,0,0,0,2,23-Mar-2026
